classid,TH_name,EN_name,Semester,Year
174493,"วข.452
เทคโนโลยีความปลอดภัยพื้นฐานสำหรับเน็ตเวิร์คและเซิร์ฟเวอร์","DSI452
FUNDAMENTAL SECURITY FOR NETWORK AND SERVER",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174494,"วข.454
โครงการจำลองการพิสูจน์พยานหลักฐานทางดิจิทัล","DSI454
DIGITAL FORENSIC SIMULATION PROJECT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174498,"วข.450
การตรวจพิสูจน์พยานหลักฐานทางดิจิทัล","DSI450
DIGITAL FORENSIC",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174501,"วข.453
การจัดการความปลอดภัยทางไซเบอร์","DSI453
CYBER SECURITY MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174506,"วข.451
อาชญากรรมไซเบอร์","DSI451
CYBERCRIME",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174901,"วข.313
การวิเคราะห์การตลาด","DSI313
MARKETING ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174902,"วข.433
ตัวแบบเชิงประยุกต์ด้านประกันภัย","DSI433
PRACTICAL MODELS IN INSURANCE",ภาคการศึกษาที่ 1 ปีการศึกษาที่ 2566,2566
174903,"วข.460
กลยุทธ์เทคโนโลยีสารสนเทศในการแปรรูปทางดิจิทัล","DSI460
INFORMATION TECHNOLOGY FOR DIGITAL TRANSFORMATION STRATEGY",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
174904,"วข.464
โครงงานเทคโนโลยีการจัดการข้อมูลในการแปรรูปทางดิจิทัล","DSI464
DATA MANAGEMENT TECHNOLOGY CAPSTONE PROJECT FOR DIGITAL TRANSFORMATION",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175001,"วข.432
การวิเคราะห์ข้อมูลเชิงลึกสำหรับการจัดการความเสี่ยง","DSI432
DATA ANALYTICS FOR RISK MANAGEMENT",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175039,"วข.313
การวิเคราะห์การตลาด","DSI313
MARKETING ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2565,2565
175055,"วข.443
การทำเหมืองสื่อประสม","DSI443
MULTIMEDIA MINING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175061,"วข.471
เวชระเบียนทางอิเล็กทรอนิกส์","DSI471
ELECTRONIC HEALTH RECORD",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175062,"วข.462
การจำแนกโรคระหว่างประเทศ","DSI472
INTERNATIONAL CLASSIFICATION OF DISEASES",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175063,"วข.470
โครงสร้างพื้นฐานด้านเทคโนโลยีสารสนเทศสุขภาพ","DSI470
HEALTH INFORMATION TECHNOLOGY INFRASTRUCTURE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175064,"วข.474
โครงงานคอมพิวเตอร์ประยุกต์ด้านสารสนเทศสุขภาพ","DSI474
COMPUTER APPLICATION PROJECT IN HEALTH INFORMATICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175065,"วข.440
ความรู้เบื้องตันเกี่ยวกับปัญญาประดิษฐ์และการเรียนรู้ของเครื่อง","DSI440
INTRODUCTION TO ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175066,"วข.442
ระบบฐานความรู้","DSI442
KNOWLEDGE-BASED SYSTEM",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175067,"วข.431
ข้อมูลและการวิเคราะห์ทางด้านประกันภัย","DSI431
DATA AND ANALYSIS IN INSURANCE",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
175308,"วข.203
การแก้ปัญหาภายใต้ความไม่แน่นอน","DSI203
PROBLEM SOLVING UNDER UNCERTAINTY",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
177106,"วข.207
การหาค่าเหมาะที่สุดเบื้องต้น","DSI207
INTRODUCTION TO OPTIMIZATION",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2566,2566
177132,"วข.323
แพลตฟอร์มของธรรมาภิบาลข้อมูล","DSI323
DATA GOVERNANCE PLATFORM",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2566,2566
177133,"วข.324
โครงงานด้านธรรมาภิบาลข้อมูล","DSI324
PRACTICAL DATA GOVERNANCE PROJECT",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2566,2566
177135,"วข.430
ความรู้เบื้องต้นเกี่ยวกับการวิเคราะห์เชิงลึกด้านประกันภัย","DSI430
INTRODUCTION TO ACTUARIAL ANALYTICS",ภาคการศึกษาที่ 1   ปีการศึกษาที่ 2566,2566
178137,"วข.321
โครงสร้างพื้นฐานคอมพิวเตอร์สำหรับการประมวลข้อมูลขนาดใหญ่","DSI321
BIG DATA INFRASTRUCTURE",ภาคการศึกษาที่ 2   ปีการศึกษาที่ 2566,2566
